Adelanto,City,San Bernardino,31765
Agoura Hills,City,Los Angeles,20330
Alameda,City,Alameda,73812
Albany,City,Alameda,18539
Alhambra,City,Los Angeles,83089
Aliso Viejo,City,Orange,47823
Altadena,Town,Los Angeles,42777
Alturas,City,Modoc,2827
Amador City,City,Amador,185
American Canyon,City,Napa,19454
Anaheim,City,Orange,336265
Anderson,City,Shasta,9932
Angels Camp,City,Calaveras,3836
Antioch,City,Contra Costa,102372
Apple Valley,Town,San Bernardino,69135
Arcadia,City,Los Angeles,56364
Arcata,City,Humboldt,17231
Arden Arcade,Town,Sacramento,92196
Arroyo Grande,City,San Luis Obispo,17252
Artesia,City,Los Angeles,16522
Arvin,City,Kern,19304
Atascadero,City,San Luis Obispo,28310
Atherton,Town,San Mateo,6914
Atwater,City,Merced,28168
Auburn,City,Placer,13330
Avalon,City,Los Angeles,3728
Avenal,City,Kings,15505
Azusa,City,Los Angeles,46361
Bakersfield,City,Kern,347483
Baldwin Park,City,Los Angeles,75390
Banning,City,Riverside,29603
Barstow,City,San Bernardino,22639
Beaumont,City,Riverside,36877
Bell,City,Los Angeles,35477
Bell Gardens,City,Los Angeles,42072
Bellflower,City,Los Angeles,76616
Belmont,City,San Mateo,25835
Belvedere,City,Marin,2068
Benicia,City,Solano,26997
Berkeley,City,Alameda,112580
Beverly Hills,City,Los Angeles,34109
Big Bear Lake,City,San Bernardino,5019
Biggs,City,Butte,1707
Bishop,City,Inyo,3879
Blue Lake,City,Humboldt,1253
Blythe,City,Riverside,20817
Bradbury,City,Los Angeles,1048
Brawley,City,Imperial,24953
Brea,City,Orange,39282
Brentwood,City,Contra Costa,51481
Brisbane,City,San Mateo,4282
Buellton,City,Santa Barbara,4828
Buena Park,City,Orange,80530
Burbank,City,Los Angeles,103340
Burlingame,City,San Mateo,28806
Calabasas,City,Los Angeles,23058
Calexico,City,Imperial,38572
California City,City,Kern,14120
Calimesa,City,Riverside,7879
Calipatria,City,Imperial,7705
Calistoga,City,Napa,5155
Camarillo,City,Ventura,65201
Campbell,City,Santa Clara,39349
Canyon Lake,City,Riverside,10561
Capitola,City,Santa Cruz,9918
Carlsbad,City,San Diego,105328
Carmel by the Sea,City,Monterey,3722
Carpinteria,City,Santa Barbara,13040
Carson,City,Los Angeles,91714
Castro Valley,Town,Alameda,61388
Cathedral City,City,Riverside,51200
Ceres,City,Stanislaus,45417
Cerritos,City,Los Angeles,49041
Chico,City,Butte,86187
Chino,City,San Bernardino,77983
Chino Hills,City,San Bernardino,74799
Chowchilla,City,Madera,18720
Chula Vista,City,San Diego,243916
Citrus Heights,City,Sacramento,83301
Claremont,City,Los Angeles,34926
Clayton,City,Contra Costa,10897
Clearlake,City,Lake,15250
Cloverdale,City,Sonoma,8618
Clovis,City,Fresno,95631
Coachella,City,Riverside,40704
Coalinga,City,Fresno,13380
Colfax,City,Placer,1963
Colma,Town,San Mateo,1792
Colton,City,San Bernardino,52154
Colusa,City,Colusa,5971
Commerce,City,Los Angeles,12823
Compton,City,Los Angeles,96455
Concord,City,Contra Costa,122067
Corcoran,City,Kings,24813
Corning,City,Tehama,7663
Corona,City,Riverside,152374
Coronado,City,San Diego,24697
Corte Madera,Town,Marin,9253
Costa Mesa,City,Orange,109960
Cotati,City,Sonoma,7265
Covina,City,Los Angeles,47796
Crescent City,City,Del Norte,7643
Cudahy,City,Los Angeles,23805
Culver City,City,Los Angeles,38883
Cupertino,City,Santa Clara,58302
Cypress,City,Orange,47802
Daly City,City,San Mateo,101123
Dana Point,City,Orange,33351
Danville,Town,Contra Costa,42039
Davis,City,Yolo,65622
Del Mar,City,San Diego,4161
Del Rey Oaks,City,Monterey,1624
Delano,City,Kern,53041
Desert Hot Springs,City,Riverside,25938
Diamond Bar,City,Los Angeles,55544
Dinuba,City,Tulare,21453
Dixon,City,Solano,18351
Dorris,City,Siskiyou,939
Dos Palos,City,Merced,4950
Downey,City,Los Angeles,111772
Duarte,City,Los Angeles,21321
Dublin,City,Alameda,46036
Dunsmuir,City,Siskiyou,1650
East Palo Alto,City,San Mateo,28155
Eastvale,City,Riverside,53670
El Cajon,City,San Diego,99478
El Centro,City,Imperial,42598
El Cerrito,City,Contra Costa,23549
El Monte,City,Los Angeles,113475
El Paso De Robles,City,San Luis Obispo,29793
El Segundo,City,Los Angeles,16654
Elk Grove,City,Sacramento,153015
Emeryville,City,Alameda,10080
Encinitas,City,San Diego,59518
Escalon,City,San Joaquin,7132
Escondido,City,San Diego,143911
Etna,City,Siskiyou,737
Eureka,City,Humboldt,27191
Exeter,City,Tulare,10334
Fairfax,Town,Marin,7441
Fairfield,City,Solano,105321
Fallbrook,Town,San Diego,30534
Farmersville,City,Tulare,10588
Ferndale,City,Humboldt,1371
Fillmore,City,Ventura,15002
Firebaugh,City,Fresno,7549
Folsom,City,Sacramento,72203
Fontana,City,San Bernardino,196069
Fort Bragg,City,Mendocino,7273
Fort Bragg Coastal,City,Mendocino,7273
Fort Jones,City,Siskiyou,839
Fortuna,City,Humboldt,11926
Foster City,City,San Mateo,30567
Fountain Valley,City,Orange,55313
Fowler,City,Fresno,5570
Fremont,City,Alameda,214089
Fresno,City,Fresno,494665
Fullerton,City,Orange,135161
Galt,City,Sacramento,23647
Garden Grove,City,Orange,170883
Gardena,City,Los Angeles,58829
Gilroy,City,Santa Clara,48821
Glendale,City,Los Angeles,191719
Glendora,City,Los Angeles,50073
Goleta,City,Santa Barbara,29888
Gonzales,City,Monterey,8187
Grand Terrace,City,San Bernardino,12040
Grass Valley,City,Nevada,12860
Greenfield,City,Monterey,16330
Gridley,City,Butte,6584
Grover Beach,City,San Luis Obispo,13156
Guadalupe,City,Santa Barbara,7080
Gustine,City,Merced,5520
Half Moon Bay,City,San Mateo,11324
Hanford,City,Kings,53967
Hawaiian Gardens,City,Los Angeles,14254
Hawthorne,City,Los Angeles,84293
Hayward,City,Alameda,144186
Healdsburg,City,Sonoma,11254
Hemet,City,Riverside,78657
Hercules,City,Contra Costa,24060
Hermosa Beach,City,Los Angeles,19506
Hesperia,City,San Bernardino,90173
Hidden Hills,City,Los Angeles,1856
Highland,City,San Bernardino,53104
Hillsborough,Town,San Mateo,10825
Hollister,City,San Benito,34928
Holtville,City,Imperial,5939
Hughson,City,Stanislaus,6640
Huntington Beach,City,Orange,189992
Huntington Park,City,Los Angeles,58114
Huron,City,Fresno,6754
Imperial,City,Imperial,14758
Imperial Beach,City,San Diego,26324
Indian Wells,City,Riverside,4958
Indio,City,Riverside,76036
Industry,City,Los Angeles,219
Inglewood,City,Los Angeles,109673
Ione,City,Amador,7918
Irvine,City,Orange,212375
Irwindale,City,Los Angeles,1422
Isleton,City,Sacramento,804
Jackson,City,Amador,4651
Jurupa Valley,City,Riverside,95004
Kerman,City,Fresno,13544
King City,City,Monterey,12874
Kingsburg,City,Fresno,11382
La Ca̱ada Flintridge,City,Los Angeles,20246
La Habra,City,Orange,60239
La Habra Heights,City,Los Angeles,5325
La Mesa,City,San Diego,57065
La Mirada,City,Los Angeles,48527
La Palma,City,Orange,15568
La Puente,City,Los Angeles,39816
La Quinta,City,Riverside,37467
La Verne,City,Los Angeles,31063
Lafayette,City,Contra Costa,23893
Laguna Beach,City,Orange,22723
Laguna Hills,City,Orange,30344
Laguna Niguel,City,Orange,62979
Laguna Woods,City,Orange,16192
Lake Elsinore,City,Riverside,51821
Lake Forest,City,Orange,77264
Lakeport,City,Lake,4753
Lakewood,City,Los Angeles,80048
Lancaster,City,Los Angeles,156633
Larkspur,City,Marin,11926
Lathrop,City,San Joaquin,18023
Lawndale,City,Los Angeles,32769
Lemon Grove,City,San Diego,25320
Lemoore,City,Kings,24531
Lincoln,City,Placer,42819
Lindsay,City,Tulare,11768
Live Oak,City,Sutter,8392
Livermore,City,Alameda,80968
Livingston,City,Merced,13058
Lodi,City,San Joaquin,62134
Loma Linda,City,San Bernardino,23261
Lomita,City,Los Angeles,20256
Lompoc,City,Santa Barbara,42434
Long Beach,City,Los Angeles,462257
Loomis,Town,Placer,6430
Los Alamitos,City,Orange,11449
Los Altos,City,Santa Clara,28976
Los Altos Hills,Town,Santa Clara,7922
Los Angeles,City,Los Angeles,3792621
Los Banos,City,Merced,35972
Los Gatos,Town,Santa Clara,29413
Loyalton,City,Sierra,769
Lynwood,City,Los Angeles,69772
Madera,City,Madera,61416
Malibu,City,Los Angeles,12645
Mammoth Lakes,Town,Mono,8234
Manhattan Beach,City,Los Angeles,35135
Manteca,City,San Joaquin,67096
Maricopa,City,Kern,1154
Marina,City,Monterey,19718
Martinez,City,Contra Costa,35824
Marysville,City,Yuba,12072
Maywood,City,Los Angeles,27395
McFarland,City,Kern,12707
Mendota,City,Fresno,11014
Menifee,City,Riverside,77519
Menlo Park,City,San Mateo,32026
Merced,City,Merced,78958
Mill Valley,City,Marin,13903
Millbrae,City,San Mateo,21532
Milpitas,City,Santa Clara,66790
Mission Viejo,City,Orange,93305
Modesto,City,Stanislaus,201165
Monrovia,City,Los Angeles,36590
Montague,City,Siskiyou,1443
Montclair,City,San Bernardino,36664
Monte Sereno,City,Santa Clara,3341
Montebello,City,Los Angeles,62500
Monterey,City,Monterey,27810
Monterey Park,City,Los Angeles,60269
Moorpark,City,Ventura,34421
Moraga,Town,Contra Costa,16016
Moreno Valley,City,Riverside,193365
Morgan Hill,City,Santa Clara,37882
Morro Bay,City,San Luis Obispo,10234
Mount Shasta,City,Siskiyou,3394
Mountain View,City,Santa Clara,74066
Murrieta,City,Riverside,103466
Napa,City,Napa,76915
National City,City,San Diego,58582
Needles,City,San Bernardino,4844
Nevada City,City,Nevada,3068
Newark,City,Alameda,42573
Newman,City,Stanislaus,10224
Newport Beach,City,Orange,85186
Norco,City,Riverside,27063
Norwalk,City,Los Angeles,105549
Novato,City,Marin,51904
Oakdale,City,Stanislaus,20675
Oakland,City,Alameda,390724
Oakley,City,Contra Costa,35432
Oceanside,City,San Diego,167086
Ojai,City,Ventura,7461
Ontario,City,San Bernardino,163924
Orange,City,Orange,134616
Orange Cove,City,Fresno,9078
Orinda,City,Contra Costa,17643
Orland,City,Glenn,7291
Oroville,City,Butte,15546
Oxnard,City,Ventura,197899
Pacific Grove,City,Monterey,15041
Pacifica,City,San Mateo,37234
Palm Desert,City,Riverside,48445
Palm Springs,City,Riverside,44552
Palmdale,City,Los Angeles,152750
Palo Alto,City,Santa Clara,64403
Palos Verdes Estates,City,Los Angeles,13438
Paradise,Town,Butte,26218
Paramount,City,Los Angeles,54098
Parlier,City,Fresno,14494
Pasadena,City,Los Angeles,137122
Paso Robles,City,San Luis Obispo,29793
Patterson,City,Stanislaus,20413
Perris,City,Riverside,68386
Petaluma,City,Sonoma,57941
Pico Rivera,City,Los Angeles,62942
Piedmont,City,Alameda,10667
Pinole,City,Contra Costa,18390
Pismo Beach,City,San Luis Obispo,7655
Pittsburg,City,Contra Costa,63264
Placentia,City,Orange,50533
Placerville,City,El Dorado,10389
Pleasant Hill,City,Contra Costa,33152
Pleasanton,City,Alameda,70285
Plymouth,City,Amador,1005
Point Arena,City,Mendocino,449
Pomona,City,Los Angeles,149058
Port Hueneme,City,Ventura,21723
Porterville,City,Tulare,54165
Portola,City,Plumas,2104
Portola Valley,Town,San Mateo,4353
Poway,City,San Diego,47811
Rancho Cordova,City,Sacramento,64776
Rancho Cucamonga,City,San Bernardino,165269
Rancho Mirage,City,Riverside,17218
Rancho Palos Verdes,City,Los Angeles,41643
Rancho Santa Margarita,City,Orange,47853
Red Bluff,City,Tehama,14076
Redding,City,Shasta,89861
Redlands,City,San Bernardino,68747
Redondo Beach,City,Los Angeles,66747
Redwood City,City,San Mateo,76815
Reedley,City,Fresno,24194
Rialto,City,San Bernardino,99171
Richmond,City,Contra Costa,103701
Ridgecrest,City,Kern,27616
Rio Dell,City,Humboldt,3368
Rio Vista,City,Solano,7360
Ripon,City,San Joaquin,14297
Riverbank,City,Stanislaus,22678
Riverside,City,Riverside,303871
Rocklin,City,Placer,56974
Rohnert Park,City,Sonoma,40971
Rolling Hills,City,Los Angeles,1860
Rolling Hills Estates,City,Los Angeles,8067
Rosemead,City,Los Angeles,53764
Roseville,City,Placer,118788
Ross,Town,Marin,2415
Sacramento,City,Sacramento,466488
Salinas,City,Monterey,150441
San Anselmo,Town,Marin,12336
San Bernardino,City,San Bernardino,209924
San Bruno,City,San Mateo,41114
San Carlos,City,San Mateo,28406
San Clemente,City,Orange,63522
San Diego,City,San Diego,1301617
San Dimas,City,Los Angeles,33371
San Fernando,City,Los Angeles,23645
San Francisco,City and county,San Francisco,805235
San Gabriel,City,Los Angeles,39718
San Jacinto,City,Riverside,44199
San Joaquin,City,Fresno,4001
San Jose,City,Santa Clara,945942
San Juan Bautista,City,San Benito,1862
San Juan Capistrano,City,Orange,34593
San Leandro,City,Alameda,84950
San Luis Obispo,City,San Luis Obispo,45119
San Marcos,City,San Diego,83781
San Marino,City,Los Angeles,13147
San Mateo,City,San Mateo,97207
San Pablo,City,Contra Costa,29139
San Rafael,City,Marin,57713
San Ramon,City,Contra Costa,72148
Sand City,City,Monterey,334
Sanger,City,Fresno,24270
Santa Ana,City,Orange,324528
Santa Barbara,City,Santa Barbara,88410
Santa Clara,City,Santa Clara,116468
Santa Clarita,City,Los Angeles,176320
Santa Cruz,City,Santa Cruz,59946
Santa Fe Springs,City,Los Angeles,16223
Santa Maria,City,Santa Barbara,99553
Santa Monica,City,Los Angeles,89736
Santa Paula,City,Ventura,29321
Santa Rosa,City,Sonoma,167815
Santee,City,San Diego,53413
Saratoga,City,Santa Clara,29926
Sausalito,City,Marin,7061
Scotts Valley,City,Santa Cruz,11580
Seal Beach,City,Orange,24168
Seaside,City,Monterey,33025
Sebastopol,City,Sonoma,7379
Selma,City,Fresno,23219
Shafter,City,Kern,16988
Shasta Lake,City,Shasta,10164
Sierra Madre,City,Los Angeles,10917
Signal Hill,City,Los Angeles,11016
Simi Valley,City,Ventura,124237
Solana Beach,City,San Diego,12867
Soledad,City,Monterey,25738
Solvang,City,Santa Barbara,5245
Sonoma,City,Sonoma,10648
Sonora,City,Tuolumne,4903
South El Monte,City,Los Angeles,20116
South Gate,City,Los Angeles,94396
South Lake Tahoe,City,El Dorado,21403
South Pasadena,City,Los Angeles,25619
South San Francisco,City,San Mateo,63632
St. Helena,City,Napa,5814
Stanton,City,Orange,38186
Stockton,City,San Joaquin,291707
Suisun City,City,Solano,28111
Sunnyvale,City,Santa Clara,140081
Susanville,City,Lassen,17947
Sutter Creek,City,Amador,2501
Taft,City,Kern,9327
Tehachapi,City,Kern,14414
Tehama,City,Tehama,418
Temecula,City,Riverside,100097
Temple City,City,Los Angeles,35558
Thousand Oaks,City,Ventura,126683
Tiburon,Town,Marin,8962
Torrance,City,Los Angeles,145538
Tracy,City,San Joaquin,82922
Trinidad,City,Humboldt,367
Truckee,Town,Nevada,16180
Tulare,City,Tulare,59278
Tulelake,City,Siskiyou,1010
Turlock,City,Stanislaus,68549
Tustin,City,Orange,75540
Twentynine Palms,City,San Bernardino,25048
Ukiah,City,Mendocino,16075
Union City,City,Alameda,69516
Upland,City,San Bernardino,73732
Vacaville,City,Solano,92428
Vallejo,City,Solano,115942
Ventura,City,Ventura,106433
Vernon,City,Los Angeles,112
Victorville,City,San Bernardino,115903
Villa Park,City,Orange,5812
Visalia,City,Tulare,124442
Vista,City,San Diego,93834
Walnut,City,Los Angeles,29172
Walnut Creek,City,Contra Costa,64173
Wasco,City,Kern,25545
Waterford,City,Stanislaus,8456
Watsonville,City,Santa Cruz,51199
Weed,City,Siskiyou,2967
West Covina,City,Los Angeles,106098
West Hollywood,City,Los Angeles,34399
West Sacramento,City,Yolo,48744
Westlake Village,City,Los Angeles,8270
Westminster,City,Orange,89701
Westmorland,City,Imperial,2225
Wheatland,City,Yuba,3456
Whittier,City,Los Angeles,85331
Wildomar,City,Riverside,32176
Williams,City,Colusa,5123
Willits,City,Mendocino,4888
Willows,City,Glenn,6166
Windsor,Town,Sonoma,26801
Winters,City,Yolo,6624
Woodlake,City,Tulare,7279
Woodland,City,Yolo,55468
Woodside,Town,San Mateo,5287
Yorba Linda,City,Orange,64234
Yountville,Town,Napa,2933
Yreka,City,Siskiyou,7765
Yuba City,City,Sutter,64925
Yucaipa,City,San Bernardino,51367
Yucca Valley,Town,San Bernardino,20700
